"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story","Searching by keyword banana should display the corresponding article","ERROR","2020-03-10T10:36:47.8815534+07:00[Asia/Bangkok]","0.0","1.81"
"Search by keyword story","Searching by keyword apple should display the corresponding article","ERROR","2020-03-10T10:36:51.6215464+07:00[Asia/Bangkok]","0.0","0.74"
